Zonas turísticas;País de residencia;Meses;Total
Andalucía: Costa de Almería;Resto de Europa sin U.E.;Diciembre;301
Andalucía: Costa de Almería;Japón;Total;130
Andalucía: Costa de Almería;Japón;Enero;..
Andalucía: Costa de Almería;Japón;Febrero;..
Andalucía: Costa de Almería;Japón;Marzo;..
Andalucía: Costa de Almería;Japón;Abril;19
Andalucía: Costa de Almería;Japón;Mayo;12
Andalucía: Costa de Almería;Japón;Junio;..
Andalucía: Costa de Almería;Japón;Julio;..
Andalucía: Costa de Almería;Japón;Agosto;38
Andalucía: Costa de Almería;Japón;Septiembre;13
Andalucía: Costa de Almería;Japón;Octubre;14
Andalucía: Costa de Almería;Japón;Noviembre;13
Andalucía: Costa de Almería;Japón;Diciembre;..
Andalucía: Costa de Almería;República China;Total;475
Andalucía: Costa de Almería;República China;Enero;30
Andalucía: Costa de Almería;República China;Febrero;29
Andalucía: Costa de Almería;República China;Marzo;42
Andalucía: Costa de Almería;República China;Abril;56
Andalucía: Costa de Almería;República China;Mayo;40
Andalucía: Costa de Almería;República China;Junio;29
Andalucía: Costa de Almería;República China;Julio;28
Andalucía: Costa de Almería;República China;Agosto;..
Andalucía: Costa de Almería;República China;Septiembre;.
Andalucía: Costa de Almería;República China;Octubre;39
Andalucía: Costa de Almería;República China;Noviembre;93
Andalucía: Costa de Almería;República China;Diciembre;42
Andalucía: Costa de Almería;Estados Unidos;Total;2.951
Andalucía: Costa de Almería;Estados Unidos;Enero;92
Andalucía: Costa de Almería;Estados Unidos;Febrero;90
Andalucía: Costa de Almería;Estados Unidos;Marzo;237
Andalucía: Costa de Almería;Estados Unidos;Abril;241
Andalucía: Costa de Almería;Estados Unidos;Mayo;297
Andalucía: Costa de Almería;Estados Unidos;Junio;322
Andalucía: Costa de Almería;Estados Unidos;Julio;331
Andalucía: Costa de Almería;Estados Unidos;Agosto;180
Andalucía: Costa de Almería;Estados Unidos;Septiembre;500
Andalucía: Costa de Almería;Estados Unidos;Octubre;316
Andalucía: Costa de Almería;Estados Unidos;Noviembre;242
Andalucía: Costa de Almería;Estados Unidos;Diciembre;105
Andalucía: Costa de Almería;Resto de América;Total;13.384
Andalucía: Costa de Almería;Resto de América;Enero;470
Andalucía: Costa de Almería;Resto de América;Febrero;544
Andalucía: Costa de Almería;Resto de América;Marzo;720
Andalucía: Costa de Almería;Resto de América;Abril;1.087
Andalucía: Costa de Almería;Resto de América;Mayo;1.443
Andalucía: Costa de Almería;Resto de América;Junio;1.527
Andalucía: Costa de Almería;Resto de América;Julio;1.672
Andalucía: Costa de Almería;Resto de América;Agosto;2.024
Andalucía: Costa de Almería;Resto de América;Septiembre;1.522
Andalucía: Costa de Almería;Resto de América;Octubre;1.195
Andalucía: Costa de Almería;Resto de América;Noviembre;601
Andalucía: Costa de Almería;Resto de América;Diciembre;579
Andalucía: Costa de Almería;Países africanos;Total;16.802
Andalucía: Costa de Almería;Países africanos;Enero;1.818
Andalucía: Costa de Almería;Países africanos;Febrero;1.267
Andalucía: Costa de Almería;Países africanos;Marzo;1.195
Andalucía: Costa de Almería;Países africanos;Abril;611
Andalucía: Costa de Almería;Países africanos;Mayo;1.193
Andalucía: Costa de Almería;Países africanos;Junio;1.388
Andalucía: Costa de Almería;Países africanos;Julio;2.283
Andalucía: Costa de Almería;Países africanos;Agosto;1.859
Andalucía: Costa de Almería;Países africanos;Septiembre;1.159
Andalucía: Costa de Almería;Países africanos;Octubre;1.097
Andalucía: Costa de Almería;Países africanos;Noviembre;1.243
Andalucía: Costa de Almería;Países africanos;Diciembre;1.690
Andalucía: Costa de la Luz de Cádiz;Total;Total;2.168.183
Andalucía: Costa de la Luz de Cádiz;Total;Enero;47.533
Andalucía: Costa de la Luz de Cádiz;Total;Febrero;76.165
Andalucía: Costa de la Luz de Cádiz;Total;Marzo;91.677
Andalucía: Costa de la Luz de Cádiz;Total;Abril;195.620
Andalucía: Costa de la Luz de Cádiz;Total;Mayo;238.081
Andalucía: Costa de la Luz de Cádiz;Total;Junio;280.087
Andalucía: Costa de la Luz de Cádiz;Total;Julio;325.149
Andalucía: Costa de la Luz de Cádiz;Total;Agosto;309.869
Andalucía: Costa de la Luz de Cádiz;Total;Septiembre;261.759
Andalucía: Costa de la Luz de Cádiz;Total;Octubre;184.121
Andalucía: Costa de la Luz de Cádiz;Total;Noviembre;86.549
Andalucía: Costa de la Luz de Cádiz;Total;Diciembre;71.575
Andalucía: Costa de la Luz de Cádiz;Residentes en España;Total;1.533.854
Andalucía: Costa de la Luz de Cádiz;Residentes en España;Enero;34.653
Andalucía: Costa de la Luz de Cádiz;Residentes en España;Febrero;57.140
Andalucía: Costa de la Luz de Cádiz;Residentes en España;Marzo;61.625
Andalucía: Costa de la Luz de Cádiz;Residentes en España;Abril;133.101
Andalucía: Costa de la Luz de Cádiz;Residentes en España;Mayo;165.002
Andalucía: Costa de la Luz de Cádiz;Residentes en España;Junio;199.820
Andalucía: Costa de la Luz de Cádiz;Residentes en España;Julio;249.163
Andalucía: Costa de la Luz de Cádiz;Residentes en España;Agosto;237.665
Andalucía: Costa de la Luz de Cádiz;Residentes en España;Septiembre;174.273
Andalucía: Costa de la Luz de Cádiz;Residentes en España;Octubre;110.010
Andalucía: Costa de la Luz de Cádiz;Residentes en España;Noviembre;59.980
Andalucía: Costa de la Luz de Cádiz;Residentes en España;Diciembre;51.421
Andalucía: Costa de la Luz de Cádiz;No residentes en España;Total;634.330
Andalucía: Costa de la Luz de Cádiz;No residentes en España;Enero;12.880
Andalucía: Costa de la Luz de Cádiz;No residentes en España;Febrero;19.025
Andalucía: Costa de la Luz de Cádiz;No residentes en España;Marzo;30.051
Andalucía: Costa de la Luz de Cádiz;No residentes en España;Abril;62.519
Andalucía: Costa de la Luz de Cádiz;No residentes en España;Mayo;73.079
Andalucía: Costa de la Luz de Cádiz;No residentes en España;Junio;80.267
Andalucía: Costa de la Luz de Cádiz;No residentes en España;Julio;75.986
Andalucía: Costa de la Luz de Cádiz;No residentes en España;Agosto;72.204
Andalucía: Costa de la Luz de Cádiz;No residentes en España;Septiembre;87.485
Andalucía: Costa de la Luz de Cádiz;No residentes en España;Octubre;74.111
Andalucía: Costa de la Luz de Cádiz;No residentes en España;Noviembre;26.569
Andalucía: Costa de la Luz de Cádiz;No residentes en España;Diciembre;20.154
Andalucía: Costa de la Luz de Cádiz;Unión Europea 27 (sin España);Total;392.641
Andalucía: Costa de la Luz de Cádiz;Unión Europea 27 (sin España);Enero;6.910
Andalucía: Costa de la Luz de Cádiz;Unión Europea 27 (sin España);Febrero;11.534
Andalucía: Costa de la Luz de Cádiz;Unión Europea 27 (sin España);Marzo;19.643
Andalucía: Costa de la Luz de Cádiz;Unión Europea 27 (sin España);Abril;38.960
Andalucía: Costa de la Luz de Cádiz;Unión Europea 27 (sin España);Mayo;44.644
Andalucía: Costa de la Luz de Cádiz;Unión Europea 27 (sin España);Junio;50.299
Andalucía: Costa de la Luz de Cádiz;Unión Europea 27 (sin España);Julio;45.583
Andalucía: Costa de la Luz de Cádiz;Unión Europea 27 (sin España);Agosto;47.923
Andalucía: Costa de la Luz de Cádiz;Unión Europea 27 (sin España);Septiembre;56.367
Andalucía: Costa de la Luz de Cádiz;Unión Europea 27 (sin España);Octubre;46.073
Andalucía: Costa de la Luz de Cádiz;Unión Europea 27 (sin España);Noviembre;14.505
Andalucía: Costa de la Luz de Cádiz;Unión Europea 27 (sin España);Diciembre;10.201
Andalucía: Costa de la Luz de Cádiz;Alemania;Total;175.311
Andalucía: Costa de la Luz de Cádiz;Alemania;Enero;1.362
Andalucía: Costa de la Luz de Cádiz;Alemania;Febrero;3.235
Andalucía: Costa de la Luz de Cádiz;Alemania;Marzo;8.695
Andalucía: Costa de la Luz de Cádiz;Alemania;Abril;18.321
Andalucía: Costa de la Luz de Cádiz;Alemania;Mayo;20.960
Andalucía: Costa de la Luz de Cádiz;Alemania;Junio;26.029
Andalucía: Costa de la Luz de Cádiz;Alemania;Julio;17.946
Andalucía: Costa de la Luz de Cádiz;Alemania;Agosto;21.008
Andalucía: Costa de la Luz de Cádiz;Alemania;Septiembre;28.665
Andalucía: Costa de la Luz de Cádiz;Alemania;Octubre;23.059
Andalucía: Costa de la Luz de Cádiz;Alemania;Noviembre;3.906
Andalucía: Costa de la Luz de Cádiz;Alemania;Diciembre;2.127
Andalucía: Costa de la Luz de Cádiz;Austria;Total;6.627
Andalucía: Costa de la Luz de Cádiz;Austria;Enero;130
Andalucía: Costa de la Luz de Cádiz;Austria;Febrero;287
Andalucía: Costa de la Luz de Cádiz;Austria;Marzo;264
Andalucía: Costa de la Luz de Cádiz;Austria;Abril;672
Andalucía: Costa de la Luz de Cádiz;Austria;Mayo;1.154
Andalucía: Costa de la Luz de Cádiz;Austria;Junio;637
Andalucía: Costa de la Luz de Cádiz;Austria;Julio;915
Andalucía: Costa de la Luz de Cádiz;Austria;Agosto;654
Andalucía: Costa de la Luz de Cádiz;Austria;Septiembre;674
Andalucía: Costa de la Luz de Cádiz;Austria;Octubre;777
Andalucía: Costa de la Luz de Cádiz;Austria;Noviembre;299
Andalucía: Costa de la Luz de Cádiz;Austria;Diciembre;165
Andalucía: Costa de la Luz de Cádiz;Bélgica;Total;15.356
Andalucía: Costa de la Luz de Cádiz;Bélgica;Enero;411
Andalucía: Costa de la Luz de Cádiz;Bélgica;Febrero;386
Andalucía: Costa de la Luz de Cádiz;Bélgica;Marzo;554
Andalucía: Costa de la Luz de Cádiz;Bélgica;Abril;1.444
Andalucía: Costa de la Luz de Cádiz;Bélgica;Mayo;1.468
Andalucía: Costa de la Luz de Cádiz;Bélgica;Junio;1.992
Andalucía: Costa de la Luz de Cádiz;Bélgica;Julio;2.895
Andalucía: Costa de la Luz de Cádiz;Bélgica;Agosto;1.626
Andalucía: Costa de la Luz de Cádiz;Bélgica;Septiembre;1.665
