Sexo;Isla;Edad;Periodo;Total
Ambos sexos;Palma, La;De 16 a 24 años;2022;290
Ambos sexos;Palma, La;De 16 a 24 años;2021;214
Ambos sexos;Palma, La;De 25 a 34 años;2023;455
Ambos sexos;Palma, La;De 25 a 34 años;2022;397
Ambos sexos;Palma, La;De 25 a 34 años;2021;274
Ambos sexos;Palma, La;De 35 a 44 años;2023;374
Ambos sexos;Palma, La;De 35 a 44 años;2022;308
Ambos sexos;Palma, La;De 35 a 44 años;2021;272
Ambos sexos;Palma, La;De 45 a 54 años;2023;330
Ambos sexos;Palma, La;De 45 a 54 años;2022;308
Ambos sexos;Palma, La;De 45 a 54 años;2021;253
Ambos sexos;Palma, La;De 55 a 64 años;2023;298
Ambos sexos;Palma, La;De 55 a 64 años;2022;333
Ambos sexos;Palma, La;De 55 a 64 años;2021;302
Ambos sexos;Palma, La;65 y más años;2023;260
Ambos sexos;Palma, La;65 y más años;2022;295
Ambos sexos;Palma, La;65 y más años;2021;320
Ambos sexos;Tenerife;Total;2023;28.934
Ambos sexos;Tenerife;Total;2022;29.522
Ambos sexos;Tenerife;Total;2021;21.962
Ambos sexos;Tenerife;De 0 a 15 años;2023;4.221
Ambos sexos;Tenerife;De 0 a 15 años;2022;4.352
Ambos sexos;Tenerife;De 0 a 15 años;2021;2.650
Ambos sexos;Tenerife;De 16 a 24 años;2023;4.256
Ambos sexos;Tenerife;De 16 a 24 años;2022;4.255
Ambos sexos;Tenerife;De 16 a 24 años;2021;3.068
Ambos sexos;Tenerife;De 25 a 34 años;2023;5.611
Ambos sexos;Tenerife;De 25 a 34 años;2022;5.688
Ambos sexos;Tenerife;De 25 a 34 años;2021;4.102
Ambos sexos;Tenerife;De 35 a 44 años;2023;5.012
Ambos sexos;Tenerife;De 35 a 44 años;2022;5.138
Ambos sexos;Tenerife;De 35 a 44 años;2021;3.374
Ambos sexos;Tenerife;De 45 a 54 años;2023;4.131
Ambos sexos;Tenerife;De 45 a 54 años;2022;4.179
Ambos sexos;Tenerife;De 45 a 54 años;2021;3.109
Ambos sexos;Tenerife;De 55 a 64 años;2023;3.077
Ambos sexos;Tenerife;De 55 a 64 años;2022;3.193
Ambos sexos;Tenerife;De 55 a 64 años;2021;2.707
Ambos sexos;Tenerife;65 y más años;2023;2.626
Ambos sexos;Tenerife;65 y más años;2022;2.717
Ambos sexos;Tenerife;65 y más años;2021;2.952
Ambos sexos;07 Balears, Illes;Total;2023;45.349
Ambos sexos;07 Balears, Illes;Total;2022;43.896
Ambos sexos;07 Balears, Illes;Total;2021;31.401
Ambos sexos;07 Balears, Illes;De 0 a 15 años;2023;5.674
Ambos sexos;07 Balears, Illes;De 0 a 15 años;2022;6.047
Ambos sexos;07 Balears, Illes;De 0 a 15 años;2021;4.026
Ambos sexos;07 Balears, Illes;De 16 a 24 años;2023;7.263
Ambos sexos;07 Balears, Illes;De 16 a 24 años;2022;6.589
Ambos sexos;07 Balears, Illes;De 16 a 24 años;2021;4.403
Ambos sexos;07 Balears, Illes;De 25 a 34 años;2023;11.603
Ambos sexos;07 Balears, Illes;De 25 a 34 años;2022;11.022
Ambos sexos;07 Balears, Illes;De 25 a 34 años;2021;6.699
Ambos sexos;07 Balears, Illes;De 35 a 44 años;2023;8.891
Ambos sexos;07 Balears, Illes;De 35 a 44 años;2022;8.894
Ambos sexos;07 Balears, Illes;De 35 a 44 años;2021;6.144
Ambos sexos;07 Balears, Illes;De 45 a 54 años;2023;5.897
Ambos sexos;07 Balears, Illes;De 45 a 54 años;2022;5.790
Ambos sexos;07 Balears, Illes;De 45 a 54 años;2021;4.578
Ambos sexos;07 Balears, Illes;De 55 a 64 años;2023;3.382
Ambos sexos;07 Balears, Illes;De 55 a 64 años;2022;3.273
Ambos sexos;07 Balears, Illes;De 55 a 64 años;2021;2.913
Ambos sexos;07 Balears, Illes;65 y más años;2023;2.639
Ambos sexos;07 Balears, Illes;65 y más años;2022;2.281
Ambos sexos;07 Balears, Illes;65 y más años;2021;2.638
Ambos sexos;Formentera;Total;2023;510
Ambos sexos;Formentera;Total;2022;435
Ambos sexos;Formentera;Total;2021;327
Ambos sexos;Formentera;De 0 a 15 años;2023;47
Ambos sexos;Formentera;De 0 a 15 años;2022;20
Ambos sexos;Formentera;De 0 a 15 años;2021;23
Ambos sexos;Formentera;De 16 a 24 años;2023;64
Ambos sexos;Formentera;De 16 a 24 años;2022;62
Ambos sexos;Formentera;De 16 a 24 años;2021;41
Ambos sexos;Formentera;De 25 a 34 años;2023;121
Ambos sexos;Formentera;De 25 a 34 años;2022;107
Ambos sexos;Formentera;De 25 a 34 años;2021;66
Ambos sexos;Formentera;De 35 a 44 años;2023;107
Ambos sexos;Formentera;De 35 a 44 años;2022;105
Ambos sexos;Formentera;De 35 a 44 años;2021;85
Ambos sexos;Formentera;De 45 a 54 años;2023;85
Ambos sexos;Formentera;De 45 a 54 años;2022;66
Ambos sexos;Formentera;De 45 a 54 años;2021;54
Ambos sexos;Formentera;De 55 a 64 años;2023;55
Ambos sexos;Formentera;De 55 a 64 años;2022;35
Ambos sexos;Formentera;De 55 a 64 años;2021;36
Ambos sexos;Formentera;65 y más años;2023;31
Ambos sexos;Formentera;65 y más años;2022;40
Ambos sexos;Formentera;65 y más años;2021;22
Ambos sexos;Ibiza;Total;2023;6.965
Ambos sexos;Ibiza;Total;2022;7.087
Ambos sexos;Ibiza;Total;2021;6.020
Ambos sexos;Ibiza;De 0 a 15 años;2023;764
Ambos sexos;Ibiza;De 0 a 15 años;2022;818
Ambos sexos;Ibiza;De 0 a 15 años;2021;628
Ambos sexos;Ibiza;De 16 a 24 años;2023;894
Ambos sexos;Ibiza;De 16 a 24 años;2022;879
Ambos sexos;Ibiza;De 16 a 24 años;2021;606
Ambos sexos;Ibiza;De 25 a 34 años;2023;1.965
Ambos sexos;Ibiza;De 25 a 34 años;2022;1.945
Ambos sexos;Ibiza;De 25 a 34 años;2021;1.400
Ambos sexos;Ibiza;De 35 a 44 años;2023;1.570
Ambos sexos;Ibiza;De 35 a 44 años;2022;1.642
Ambos sexos;Ibiza;De 35 a 44 años;2021;1.393
Ambos sexos;Ibiza;De 45 a 54 años;2023;995
Ambos sexos;Ibiza;De 45 a 54 años;2022;981
Ambos sexos;Ibiza;De 45 a 54 años;2021;995
Ambos sexos;Ibiza;De 55 a 64 años;2023;460
Ambos sexos;Ibiza;De 55 a 64 años;2022;500
Ambos sexos;Ibiza;De 55 a 64 años;2021;507
Ambos sexos;Ibiza;65 y más años;2023;317
Ambos sexos;Ibiza;65 y más años;2022;322
Ambos sexos;Ibiza;65 y más años;2021;491
Ambos sexos;Mallorca;Total;2023;34.857
Ambos sexos;Mallorca;Total;2022;33.593
Ambos sexos;Mallorca;Total;2021;23.040
Ambos sexos;Mallorca;De 0 a 15 años;2023;4.471
Ambos sexos;Mallorca;De 0 a 15 años;2022;4.875
Ambos sexos;Mallorca;De 0 a 15 años;2021;3.062
Ambos sexos;Mallorca;De 16 a 24 años;2023;5.817
Ambos sexos;Mallorca;De 16 a 24 años;2022;5.229
Ambos sexos;Mallorca;De 16 a 24 años;2021;3.507
Ambos sexos;Mallorca;De 25 a 34 años;2023;8.811
Ambos sexos;Mallorca;De 25 a 34 años;2022;8.246
Ambos sexos;Mallorca;De 25 a 34 años;2021;4.877
Ambos sexos;Mallorca;De 35 a 44 años;2023;6.642
Ambos sexos;Mallorca;De 35 a 44 años;2022;6.643
Ambos sexos;Mallorca;De 35 a 44 años;2021;4.302
Ambos sexos;Mallorca;De 45 a 54 años;2023;4.421
Ambos sexos;Mallorca;De 45 a 54 años;2022;4.365
Ambos sexos;Mallorca;De 45 a 54 años;2021;3.227
Ambos sexos;Mallorca;De 55 a 64 años;2023;2.598
Ambos sexos;Mallorca;De 55 a 64 años;2022;2.494
Ambos sexos;Mallorca;De 55 a 64 años;2021;2.152
Ambos sexos;Mallorca;65 y más años;2023;2.097
Ambos sexos;Mallorca;65 y más años;2022;1.741
Ambos sexos;Mallorca;65 y más años;2021;1.913
Ambos sexos;Menorca;Total;2023;3.017
Ambos sexos;Menorca;Total;2022;2.781
Ambos sexos;Menorca;Total;2021;2.014
Ambos sexos;Menorca;De 0 a 15 años;2023;392
Ambos sexos;Menorca;De 0 a 15 años;2022;334
Ambos sexos;Menorca;De 0 a 15 años;2021;313
Ambos sexos;Menorca;De 16 a 24 años;2023;488
Ambos sexos;Menorca;De 16 a 24 años;2022;419
Ambos sexos;Menorca;De 16 a 24 años;2021;249
Ambos sexos;Menorca;De 25 a 34 años;2023;706
Ambos sexos;Menorca;De 25 a 34 años;2022;724
Ambos sexos;Menorca;De 25 a 34 años;2021;356
Ambos sexos;Menorca;De 35 a 44 años;2023;572
Ambos sexos;Menorca;De 35 a 44 años;2022;504
Ambos sexos;Menorca;De 35 a 44 años;2021;364
Ambos sexos;Menorca;De 45 a 54 años;2023;396
Ambos sexos;Menorca;De 45 a 54 años;2022;378
Ambos sexos;Menorca;De 45 a 54 años;2021;302
Ambos sexos;Menorca;De 55 a 64 años;2023;269
Ambos sexos;Menorca;De 55 a 64 años;2022;244
Ambos sexos;Menorca;De 55 a 64 años;2021;218
Ambos sexos;Menorca;65 y más años;2023;194
Ambos sexos;Menorca;65 y más años;2022;178
Ambos sexos;Menorca;65 y más años;2021;212
Hombres;35 Palmas, Las;Total;2023;15.799
Hombres;35 Palmas, Las;Total;2022;14.842
Hombres;35 Palmas, Las;Total;2021;11.642
Hombres;35 Palmas, Las;De 0 a 15 años;2023;2.453
Hombres;35 Palmas, Las;De 0 a 15 años;2022;2.201
Hombres;35 Palmas, Las;De 0 a 15 años;2021;1.518
Hombres;35 Palmas, Las;De 16 a 24 años;2023;2.785
Hombres;35 Palmas, Las;De 16 a 24 años;2022;2.695
Hombres;35 Palmas, Las;De 16 a 24 años;2021;1.922
Hombres;35 Palmas, Las;De 25 a 34 años;2023;3.179
Hombres;35 Palmas, Las;De 25 a 34 años;2022;3.012
Hombres;35 Palmas, Las;De 25 a 34 años;2021;2.170
Hombres;35 Palmas, Las;De 35 a 44 años;2023;2.595
Hombres;35 Palmas, Las;De 35 a 44 años;2022;2.390
Hombres;35 Palmas, Las;De 35 a 44 años;2021;1.880
Hombres;35 Palmas, Las;De 45 a 54 años;2023;2.134
Hombres;35 Palmas, Las;De 45 a 54 años;2022;1.979
Hombres;35 Palmas, Las;De 45 a 54 años;2021;1.701
Hombres;35 Palmas, Las;De 55 a 64 años;2023;1.483
Hombres;35 Palmas, Las;De 55 a 64 años;2022;1.488
Hombres;35 Palmas, Las;De 55 a 64 años;2021;1.351
Hombres;35 Palmas, Las;65 y más años;2023;1.170
Hombres;35 Palmas, Las;65 y más años;2022;1.077
Hombres;35 Palmas, Las;65 y más años;2021;1.100
Hombres;Fuerteventura;Total;2023;3.166
Hombres;Fuerteventura;Total;2022;3.317
Hombres;Fuerteventura;Total;2021;2.353
Hombres;Fuerteventura;De 0 a 15 años;2023;366
Hombres;Fuerteventura;De 0 a 15 años;2022;385
Hombres;Fuerteventura;De 0 a 15 años;2021;213
Hombres;Fuerteventura;De 16 a 24 años;2023;512
Hombres;Fuerteventura;De 16 a 24 años;2022;473
Hombres;Fuerteventura;De 16 a 24 años;2021;297
Hombres;Fuerteventura;De 25 a 34 años;2023;648
Hombres;Fuerteventura;De 25 a 34 años;2022;722
Hombres;Fuerteventura;De 25 a 34 años;2021;437
Hombres;Fuerteventura;De 35 a 44 años;2023;528
Hombres;Fuerteventura;De 35 a 44 años;2022;546
Hombres;Fuerteventura;De 35 a 44 años;2021;392
Hombres;Fuerteventura;De 45 a 54 años;2023;473
Hombres;Fuerteventura;De 45 a 54 años;2022;497
Hombres;Fuerteventura;De 45 a 54 años;2021;375
Hombres;Fuerteventura;De 55 a 64 años;2023;351
Hombres;Fuerteventura;De 55 a 64 años;2022;408
Hombres;Fuerteventura;De 55 a 64 años;2021;338
Hombres;Fuerteventura;65 y más años;2023;288
Hombres;Fuerteventura;65 y más años;2022;286
Hombres;Fuerteventura;65 y más años;2021;301
Hombres;Gran Canaria;Total;2023;9.072
Hombres;Gran Canaria;Total;2022;8.466
Hombres;Gran Canaria;Total;2021;7.053
Hombres;Gran Canaria;De 0 a 15 años;2023;1.584
Hombres;Gran Canaria;De 0 a 15 años;2022;1.417
Hombres;Gran Canaria;De 0 a 15 años;2021;1.052
Hombres;Gran Canaria;De 16 a 24 años;2023;1.692
Hombres;Gran Canaria;De 16 a 24 años;2022;1.728
Hombres;Gran Canaria;De 16 a 24 años;2021;1.315
Hombres;Gran Canaria;De 25 a 34 años;2023;1.736
Hombres;Gran Canaria;De 25 a 34 años;2022;1.597
Hombres;Gran Canaria;De 25 a 34 años;2021;1.349
Hombres;Gran Canaria;De 35 a 44 años;2023;1.409
Hombres;Gran Canaria;De 35 a 44 años;2022;1.299
Hombres;Gran Canaria;De 35 a 44 años;2021;1.132
Hombres;Gran Canaria;De 45 a 54 años;2023;1.163
Hombres;Gran Canaria;De 45 a 54 años;2022;1.079
Hombres;Gran Canaria;De 45 a 54 años;2021;963
Hombres;Gran Canaria;De 55 a 64 años;2023;825
Hombres;Gran Canaria;De 55 a 64 años;2022;772
Hombres;Gran Canaria;De 55 a 64 años;2021;719
Hombres;Gran Canaria;65 y más años;2023;663
Hombres;Gran Canaria;65 y más años;2022;574
Hombres;Gran Canaria;65 y más años;2021;523
Hombres;Lanzarote;Total;2023;3.561
Hombres;Lanzarote;Total;2022;3.059
Hombres;Lanzarote;Total;2021;2.236
Hombres;Lanzarote;De 0 a 15 años;2023;503
Hombres;Lanzarote;De 0 a 15 años;2022;399
Hombres;Lanzarote;De 0 a 15 años;2021;253
Hombres;Lanzarote;De 16 a 24 años;2023;581
Hombres;Lanzarote;De 16 a 24 años;2022;494
Hombres;Lanzarote;De 16 a 24 años;2021;310
Hombres;Lanzarote;De 25 a 34 años;2023;795
Hombres;Lanzarote;De 25 a 34 años;2022;693
Hombres;Lanzarote;De 25 a 34 años;2021;384
Hombres;Lanzarote;De 35 a 44 años;2023;658
Hombres;Lanzarote;De 35 a 44 años;2022;545
Hombres;Lanzarote;De 35 a 44 años;2021;356
