"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Jabari Smith Jr.","Hou","F","21.7","33","30.9","15.2","9","75","0.867","155","0.516","158","0.354","0.524","0.568","11.9","6.5","1","0.4","1","0.9","18.5","12.9","19.5","5.5","119.1","105.2"
"","Scoot Henderson","Por","G","20.9","32","26.1","22.2","22","103","0.757","194","0.464","117","0.342","0.482","0.53","11.8","2.9","5","1.1","0.3","2.8","14.7","16.8","19.7","8.5","103.8","112.8"
"","Josh Giddey","Chi","G","22.3","36","27.9","20.8","20.8","78","0.744","234","0.5","136","0.324","0.495","0.524","11.8","7.4","6.9","1.1","0.5","2.7","19.1","18.6","26","12.1","109.1","112.9"
"","Rui Hachimura","Lal","F","26.9","32","32.3","14.9","9.9","61","0.787","176","0.523","115","0.426","0.569","0.596","11.8","5.1","1.5","0.9","0.6","1","16.9","13.4","18.4","5.6","118.5","114"
"","Jrue Holiday","Bos","G","34.6","33","30.7","16.3","12.5","53","0.887","140","0.586","175","0.343","0.546","0.578","11.8","4.2","4","1","0.5","1.4","16.1","15.8","20.1","7.6","121","109.9"
"","Isaiah Hartenstein","Okc","C-F","26.7","24","29.8","17.3","18.4","62","0.677","202","0.589","11","0","0.559","0.583","11.7","12.2","4.1","0.9","1.3","2","23.8","15.8","28","11.2","118.2","92.9"
"","Jaylen Wells","Mem","F","21.4","40","26","17.4","10.6","75","0.813","178","0.506","201","0.378","0.538","0.569","11.7","3.4","1.7","0.6","0.1","1.1","15.1","13.4","16.8","6.3","114.1","110.2"
"","Alexandre Sarr","Was","C","19.7","34","27.1","20.5","12.4","78","0.641","213","0.465","154","0.325","0.474","0.496","11.7","6.6","2.3","0.6","1.6","1.5","18.3","14","20.5","8.3","101.6","113.5"
"","Julian Champagnie","San","F","23.5","38","27.1","17.5","9.7","47","0.894","96","0.573","266","0.368","0.558","0.583","11.7","4.5","1.2","0.7","0.5","1","16.2","13","17.5","5.9","110.9","110.6"
"","Tyus Jones","Pho","G","28.7","38","30.1","16","12.3","30","0.833","160","0.544","190","0.421","0.591","0.604","11.6","2.5","6","0.9","0.1","1.3","14.1","17.6","20.1","7.4","125.6","119.3"
"","Jonas Valanciunas","Was","C","32.7","38","19.8","24.1","18.6","78","0.91","305","0.584","23","0.217","0.566","0.61","11.6","8.1","2.2","0.5","0.7","2","19.7","13.9","22","11.9","113.9","109.9"
"","Corey Kispert","Was","F","25.9","33","26.7","17","10","45","0.867","119","0.58","187","0.353","0.549","0.576","11.4","3","1.6","0.5","0.2","1","14.3","13","16","5.7","110.6","120.6"
"","Tari Eason","Hou","F","23.7","24","22.8","19.8","8.3","49","0.755","148","0.554","73","0.315","0.527","0.557","11.3","6.3","1","1.9","1","0.8","17.5","12.3","18.6","7.3","118","96.2"
"","Daniel Gafford","Dal","F-C","26.3","38","19.7","19.7","14","120","0.675","252","0.694","0","0","0.694","0.707","11.3","5.8","1.1","0.4","1.4","1.1","17.2","12.5","18.3","8.5","134.4","102"
"","Onyeka Okongwu","Atl","F-C","24.1","32","23.7","17.1","8.1","78","0.769","212","0.623","50","0.22","0.567","0.602","11.2","7.2","1.6","0.7","0.8","0.7","18.4","12.8","20","8.5","127.4","108.8"
"","Harrison Barnes","San","F","32.6","38","27.9","14.6","7.3","105","0.819","155","0.548","137","0.409","0.579","0.627","11.2","3.7","1.6","0.3","0.2","0.6","14.9","12.7","16.5","5.8","129.2","115.6"
"","Naji Marshall","Dal","F","27","31","24","19.1","13.5","51","0.882","186","0.602","83","0.301","0.556","0.59","11.1","3.4","2.3","0.9","0.1","1.4","14.5","13.4","16.8","7.4","114.9","111.3"
"","Caris LeVert","Cle","G","30.4","33","24.2","18.5","13.9","78","0.705","132","0.523","134","0.433","0.586","0.611","11.1","2.9","3.8","0.9","0.5","1.3","14","14.9","17.8","8.2","122.3","110.6"
"","Bogdan Bogdanovic","Atl","G","32.4","18","25.6","18.7","14.3","23","0.913","58","0.534","115","0.339","0.517","0.546","11.1","2.7","2.4","0.9","0.2","1.6","13.8","13.5","16.2","6.5","104","110.9"
"","Tosan Evbuomwan","Bro","F","23.9","6","23.1","18.4","16.2","20","0.6","25","0.72","16","0.375","0.659","0.663","11","4.2","1","0.3","0.5","1.3","15.2","12","16.2","6.2","116.6","111.7"
"","Stephon Castle","San","G","20.2","37","24.9","22.8","15","113","0.699","236","0.475","138","0.254","0.44","0.481","11","2.4","3.6","0.8","0.3","1.8","13.5","14.6","17.1","7.3","99.2","111.1"
"","Grayson Allen","Pho","G","29.3","30","23.9","17.8","11.7","58","0.845","60","0.517","173","0.416","0.597","0.632","10.9","3.1","1.8","0.9","0.3","1","14","12.7","15.8","6.6","119.4","114.6"
"","Tim Hardaway Jr.","Det","G-F","32.8","36","28.1","15.1","7.3","65","0.831","103","0.524","202","0.381","0.556","0.589","10.9","2","1.6","0.4","0","0.7","12.9","12.5","14.5","4.7","118.7","116.1"
"","Walker Kessler","Uta","C","23.5","31","29.7","12.9","18.3","82","0.561","197","0.721","4","0.5","0.721","0.709","10.8","11.4","1.5","0.5","2.5","1.5","22.3","12.4","23.8","7.7","133.1","111.8"
"","Ochai Agbaji","Tor","G","24.7","38","29.3","13.8","8.5","28","0.679","173","0.601","151","0.404","0.603","0.61","10.8","3.8","1.7","0.8","0.6","0.8","14.6","12.5","16.3","5.6","119.7","116.7"
"","Brandon Boston Jr.","Nor","G","23.1","38","24","19.7","12.3","79","0.81","215","0.488","128","0.344","0.499","0.537","10.7","3.2","2.3","1.2","0.2","1.3","13.9","13","16.3","7.1","107.9","115.1"
"","Andrew Nembhard","Ind","G-F","25","26","27.8","17.8","17","62","0.774","162","0.512","62","0.339","0.511","0.551","10.7","3.3","5","1","0.1","1.8","14","15.7","19","8.1","111.3","113.2"
"","Chris Boucher","Tor","F","32","35","17.6","22","7.5","70","0.786","133","0.632","137","0.365","0.589","0.62","10.7","4.3","0.7","0.6","0.6","0.6","15","11.4","15.7","7.2","122.7","113.7"
"","Duncan Robinson","Mia","F","30.7","36","23","20","9.9","25","0.88","94","0.511","235","0.374","0.547","0.562","10.6","2.3","2.6","0.5","0.1","1","12.9","13.3","15.6","6.9","110.6","107.8"
"","Donte DiVincenzo","Min","G","28","39","26.1","19.1","16.5","44","0.841","88","0.477","267","0.363","0.528","0.55","10.6","3.6","3.5","1.2","0.2","1.8","14.2","14","17.6","7.8","107","107.4"
"","Zaccharie Risacher","Atl","F","19.8","39","23.7","20.4","10.9","80","0.713","223","0.489","160","0.281","0.461","0.49","10.5","3.5","1.2","0.8","0.5","1.2","14","11.7","15.2","6","98.9","111.6"
"","Jordan Hawkins","Nor","G","22.7","25","22.8","21.9","8","47","0.851","104","0.394","149","0.315","0.441","0.48","10.5","2.5","1","0.4","0.5","0.9","13","11.5","14","5.2","97.8","121.7"
"","Scotty Pippen Jr.","Mem","G","24.2","40","22.1","19.9","19.6","85","0.694","206","0.529","121","0.38","0.544","0.569","10.4","3.4","4.7","1.2","0.4","2","13.8","15.1","18.5","10","112.7","102.7"
"","Grant Williams","Cha","F","26.1","16","29.9","14.7","18.5","37","0.838","49","0.551","74","0.365","0.549","0.596","10.4","5.1","2.3","1.1","0.8","1.8","15.5","12.7","17.8","6.6","112.7","107.4"
"","Amir Coffey","Lac","G-F","27.6","37","25.1","15.6","8.1","62","0.871","142","0.507","143","0.434","0.579","0.615","10.4","2.5","1.1","0.6","0.1","0.7","12.9","11.5","14.1","4.9","121.4","109.8"
"","Dorian Finney-Smith","Bro","F","31.7","20","29","14.2","10.2","24","0.625","51","0.51","108","0.435","0.607","0.613","10.4","4.6","1.6","0.9","0.6","0.9","15","12","16.5","5.9","119.8","110.9"
"","T.J. McConnell","Ind","G","32.8","40","19.3","24.2","15.1","46","0.739","323","0.557","25","0.28","0.547","0.563","10.4","2.5","4.5","1.2","0.3","1.6","12.9","14.9","17.4","10.1","112.8","113"
"","Herbert Jones","Nor","F","26.3","20","32.4","14.6","16.9","40","0.825","100","0.53","72","0.306","0.5","0.541","10.3","3.9","3.3","1.9","0.5","1.8","14.2","13.5","17.4","6.3","107","112"
"","Obi Toppin","Ind","F","26.9","38","19.6","19","8.6","52","0.827","149","0.711","128","0.352","0.626","0.65","10.3","4","1.7","0.8","0.4","0.7","14.3","11.9","15.9","8.4","125.8","110.3"
"","Quentin Grimes","Dal","G","24.7","38","22.7","18.4","14","68","0.765","130","0.538","165","0.4","0.573","0.6","10.3","4.1","2.1","0.7","0.2","1.3","14.3","12.4","16.4","7.9","115.5","109"
"","De'Anthony Melton","Gol","G","26.6","6","20.2","23.4","15.6","8","0.5","19","0.474","35","0.371","0.528","0.53","10.2","3.3","2.8","1.2","0.3","1.7","13.5","13","16.3","9","103.5","98.6"
"","Royce O'Neale","Pho","F","31.6","33","25.9","16.3","11.8","22","0.773","82","0.476","187","0.428","0.591","0.601","10.2","5.5","2.3","1","0.6","1.1","15.6","12.4","17.9","7.8","115.7","109.2"
"","Dennis Schroder","Gol","G","31.3","14","28.1","20.4","16.1","27","0.778","81","0.407","70","0.257","0.397","0.433","10.1","2.2","4.6","0.7","0.1","2.1","12.3","14.7","16.9","6.7","93.6","108.7"
"","Jose Alvarado","Nor","G","26.8","18","22.5","19","12.2","24","0.833","55","0.382","96","0.417","0.536","0.563","10.1","1.9","3.9","1.6","0.2","1.2","12.1","14.1","16","7.5","117.7","112.6"
"","Ty Jerome","Cle","G-F","27.5","36","17.6","22.4","13.1","58","0.897","151","0.563","114","0.412","0.587","0.625","10.1","2.2","3.4","1.2","0","1.1","12.3","13.5","15.7","9.6","126.2","106.1"
"","Guerschon Yabusele","Phi","F","29.1","38","25.5","16","14.7","73","0.685","127","0.63","145","0.4","0.614","0.631","10.1","5.4","1.8","0.7","0.4","1.2","15.5","11.9","17.3","7.2","121.7","106.7"
"","Rudy Gobert","Min","C","32.6","39","33.4","11.9","18.4","127","0.661","244","0.635","0","0","0.635","0.657","10.1","10.5","1.7","0.6","1.5","1.4","20.6","11.8","22.4","6.8","129.3","103.9"
"","Nic Claxton","Bro","C","25.7","33","26.4","16.9","13.1","82","0.537","247","0.571","12","0.083","0.55","0.557","10","7.6","2.1","0.9","1.2","1.2","17.5","12","19.6","8.2","113","108.6"
"","Zach Edey","Mem","C","22.7","26","21.3","17.8","18.7","54","0.63","154","0.617","28","0.393","0.613","0.625","9.9","7.5","0.9","0.7","1.1","1.6","17.4","10.8","18.3","7.6","117","98.9"
"","Jaden McDaniels","Min","F","24.3","39","30","15.1","10.9","44","0.773","196","0.531","147","0.327","0.513","0.533","9.9","4.8","1.5","1.4","0.8","1.1","14.7","11.4","16.2","5.5","107.8","103.5"
"","Toumani Camara","Por","F","24.7","38","31.5","14.1","14.5","52","0.769","157","0.51","168","0.345","0.514","0.538","9.8","5.6","2","1.4","0.5","1.4","15.4","11.8","17.4","6.1","109.9","112.9"
"","Cam Whitmore","Hou","F","20.5","20","15.1","26.6","7.1","31","0.742","91","0.538","78","0.321","0.512","0.537","9.8","2.6","0.5","0.6","0.2","0.7","12.4","10.3","12.9","6.2","110","107.1"
"","Nikola Jovic","Mia","F","21.6","29","22.3","18.6","10.6","64","0.828","106","0.519","113","0.354","0.525","0.573","9.8","3.9","2.3","0.9","0.3","0.9","13.7","12","16","8","116.1","107.4"
"","Brice Sensabaugh","Uta","F","21.2","29","17.8","21.6","16.6","29","0.931","83","0.566","127","0.417","0.602","0.628","9.7","2.7","1.3","0.6","0.1","1.4","12.4","11","13.7","7.3","112.4","114.3"
"","Ziaire Williams","Bro","F","23.3","28","22.7","19.3","12","66","0.818","114","0.491","105","0.333","0.495","0.546","9.7","4.7","1.4","1","0.4","1.1","14.4","11.1","15.8","7","108.7","105.6"
"","Luguentz Dort","Okc","G","25.7","38","29.4","13.7","7.9","37","0.811","105","0.41","208","0.404","0.54","0.559","9.7","4.4","1.6","1.1","0.7","0.7","14.1","11.3","15.7","5.6","116.2","99.6"
"","Derrick Jones Jr.","Lac","F","27.9","36","24.1","16.3","10.7","43","0.814","175","0.594","101","0.347","0.567","0.59","9.7","3.2","0.9","1.3","0.3","0.9","12.9","10.6","13.8","5","113.9","105.5"
"","Chris Paul","San","G","39.7","38","29.1","14.8","17.6","58","0.983","112","0.509","182","0.363","0.531","0.577","9.7","4.3","8.4","1.4","0.2","1.7","14","18.1","22.3","9.7","126.9","108.7"
"","Dalton Knecht","Lal","F","23.7","37","21.7","17.7","6.6","45","0.8","114","0.632","170","0.347","0.565","0.588","9.6","3.3","1","0.4","0.1","0.5","12.9","10.6","13.9","5.8","116.3","114"
"","Noah Clowney","Bro","F-C","20.5","30","22.2","18.9","10.6","48","0.854","74","0.459","162","0.37","0.525","0.562","9.6","3.9","0.9","0.5","0.4","0.9","13.6","10.6","14.5","5.8","108.8","107.8"
"","Aaron Wiggins","Okc","G","26","39","20.4","18.4","9.5","33","0.848","158","0.576","138","0.399","0.586","0.604","9.6","3.4","1.5","0.8","0.3","0.8","13","11.1","14.4","7.2","118.4","104.1"
"","Kevin Porter Jr.","Lac","G-F","24.7","34","19.7","26.8","18.3","67","0.627","230","0.483","86","0.244","0.451","0.473","9.6","3.4","3.3","1","0.3","2.1","13.1","12.9","16.3","9.7","93.9","104"
"","Goga Bitadze","Orl","C-F","25.5","36","24.6","15.7","17.8","75","0.68","217","0.664","19","0.105","0.623","0.641","9.6","8.2","2.4","0.9","1.6","1.4","17.8","12","20.2","9.3","124.3","98.6"
"","Gary Trent Jr.","Mil","G","26","34","24.5","15.4","7.8","32","0.906","92","0.457","167","0.425","0.573","0.597","9.6","2.3","0.9","1.1","0.1","0.6","11.9","10.5","12.7","4.4","112.6","107.4"
"","Spencer Dinwiddie","Dal","G","31.8","38","23.9","17.5","12.7","114","0.86","138","0.457","143","0.329","0.475","0.551","9.6","2.3","3.7","0.8","0.2","1.1","11.9","13.3","15.6","7.3","117.6","111.8"
"","Jaime Jaquez Jr.","Mia","G","23.9","34","23.6","20.2","17.4","91","0.714","199","0.492","72","0.292","0.478","0.521","9.5","4.8","2.7","1.3","0.1","1.7","14.3","12.3","17","8.4","104.2","106"
"","Jalen Duren","Det","C","21.2","37","25","14.9","24.3","99","0.626","211","0.687","0","0","0.687","0.691","9.5","9.4","2.4","0.6","1.2","1.8","18.9","11.9","21.2","9.6","125.9","100.4"
"","Larry Nance Jr.","Atl","F-C","32","15","19.4","15.2","10.4","8","0.875","44","0.659","50","0.52","0.723","0.733","9.5","4.3","1.6","1.1","0.7","0.7","13.8","11.1","15.4","8.3","135.6","109.3"
"","Patrick Williams","Chi","F","23.4","30","27","16.5","14.6","43","0.837","116","0.397","141","0.362","0.477","0.509","9.4","4","2.3","0.9","0.6","1.5","13.4","11.7","15.7","6.6","99.4","115.3"
"","Clint Capela","Atl","C","30.7","39","22.9","16.1","11.4","71","0.521","286","0.577","0","0","0.577","0.578","9.4","8.9","1.3","0.6","1","0.9","18.3","10.7","19.6","8.3","119.5","107.6"
"","Julian Strawther","Den","G","22.7","39","21.7","17.1","9.7","57","0.86","135","0.533","152","0.368","0.544","0.578","9.3","2.2","1.4","0.7","0.3","0.8","11.5","10.6","12.8","5.6","112.4","106.8"
"","Miles McBride","Nyk","G","24.4","31","24","16.7","9.3","36","0.806","100","0.46","144","0.389","0.533","0.556","9.3","2.6","3","0.8","0.2","0.8","11.9","12.3","14.9","7","119.6","112"
"","Aaron Nesmith","Ind","G-F","25.3","6","22.7","14.9","12.1","13","0.846","25","0.52","11","0.545","0.611","0.659","9.2","4","1","0.7","0.3","0.8","13.2","10.2","14.2","5.9","123.2","100.2"
"","Marcus Smart","Mem","G","30.9","18","21.2","19.9","19.3","36","0.833","55","0.436","87","0.333","0.475","0.523","9.2","2.3","3.8","1.3","0.3","1.9","11.5","13","15.3","8.1","106.7","107.4"
"","Svi Mykhailiuk","Uta","G-F","27.6","13","17.1","24","18","11","0.818","28","0.607","72","0.347","0.545","0.563","9.1","1.8","2","1","0.2","1.7","10.9","11.1","12.9","7.5","103","115.7"
"","Dereck Lively II","Dal","C","20.9","32","24","13.7","18","69","0.638","177","0.701","0","0","0.701","0.704","9.1","7.8","2.6","0.5","1.7","1.2","17","11.8","19.6","9.5","138.3","102.1"
"","Jalen Wilson","Bro","F","24.2","39","26.7","16.1","12.2","66","0.864","138","0.486","172","0.314","0.477","0.521","9.1","3.3","1.7","0.5","0.1","1.1","12.4","10.8","14.1","5.6","105.2","112.7"
"","Justin Champagnie","Was","G-F","23.5","21","23.1","14.7","12.9","19","0.632","74","0.649","68","0.412","0.634","0.638","9.1","5.6","1.1","1.1","0.7","1","14.7","10.2","15.8","6.6","120.1","112.8"
"","Garrison Mathews","Atl","G","28.2","30","19","16.4","10.7","56","0.821","29","0.483","154","0.429","0.617","0.655","9.1","1.8","1.5","0.7","0.3","0.7","10.8","10.6","12.3","6.1","125.6","111.1"
"","Caleb Martin","Phi","F","29.3","31","30.4","14.4","15.6","74","0.622","145","0.469","87","0.379","0.506","0.531","9.1","4.4","2.3","1.1","0.6","1.4","13.5","11.3","15.7","5.9","107","111"
"","Kentavious Caldwell-Pope","Orl","G","31.9","39","30.5","13","10.6","52","0.923","108","0.593","188","0.319","0.52","0.558","9.1","2","2","1.6","0.6","0.9","11.1","11.2","13.2","4.3","111.9","105.9"
"","Trentyn Flowers","Lac","F","19.9","1","14.4","31.2","9.6","1","1","7","0.571","2","0","0.444","0.477","9","4","0","0","0","1","13","9","13","0","90.5","91.3"
"","Yves Missi","Nor","C","20.7","40","27","13.7","15.9","114","0.667","253","0.561","1","0","0.559","0.592","9","8.2","1.5","0.6","1.4","1.2","17.2","10.5","18.7","7.1","121.3","113.2"
"","Carlton Carrington","Was","G","19.5","38","30.2","14.2","16.1","30","0.8","145","0.476","173","0.341","0.495","0.512","8.9","4.3","4.1","0.7","0.2","1.6","13.2","13","17.2","7.1","102.7","116.1"
"","Peyton Watson","Den","G","22.3","39","25","14.4","12.6","89","0.775","173","0.549","84","0.345","0.539","0.584","8.9","3.6","1.5","0.9","1.1","0.9","12.4","10.4","13.9","5.8","115.1","109.9"
"","Nick Richards","Cha","C","27.1","21","21","17.7","22.4","87","0.678","113","0.566","1","0","0.561","0.614","8.9","7.5","1.3","0.3","1.2","1.6","16.4","10.2","17.8","8.4","115.9","103.8"
"","Tristan da Silva","Orl","F","23.7","37","25.6","16","10.8","38","0.816","150","0.52","146","0.315","0.497","0.52","8.8","4.1","1.7","0.4","0.2","1","12.9","10.5","14.6","6.2","106.8","107.5"
"","Anthony Black","Orl","G","21","37","23.9","19.7","21.9","103","0.748","191","0.476","87","0.253","0.446","0.503","8.8","2.7","3.5","0.9","0.6","2.1","11.5","12.3","15","7.3","98.2","102.6"
"","Jay Huff","Mem","C","27.4","35","14.9","19.2","11.2","47","0.787","71","0.718","135","0.415","0.655","0.677","8.8","2.5","0.7","0.3","1.1","0.7","11.3","9.5","12","6.7","124.9","103.9"
"","Isaiah Joe","Okc","G","25.5","37","20.5","17.5","6","20","0.75","63","0.556","219","0.365","0.55","0.559","8.8","2.6","1.4","0.8","0.2","0.5","11.4","10.2","12.8","6.2","113.6","103.4"
"","Kevin Huerter","Sac","G-F","26.4","36","23.4","16.8","10.6","25","0.72","98","0.643","188","0.309","0.524","0.535","8.8","3.2","1.9","1","0.4","0.9","12","10.7","13.9","6.4","106.5","108.6"
"","Kawhi Leonard","Lac","F","33.5","3","20.3","25","8.8","3","0.333","18","0.278","13","0.385","0.403","0.402","8.7","3.3","1.3","1.3","0","1","12","10","13.3","6.6","85.9","109.5"
"","Keon Johnson","Bro","G","22.9","38","21.7","21","13.3","41","0.78","141","0.447","184","0.31","0.457","0.48","8.7","3.4","1.7","0.8","0.3","1.3","12","10.3","13.7","6.8","94.1","106.9"
"","Nickeil Alexander-Walker","Min","G","26.4","39","22.9","16.1","16.4","42","0.714","106","0.557","153","0.418","0.598","0.613","8.7","2.8","2.5","0.7","0.3","1.3","11.5","11.2","14","6.9","115","107.6"
"","Draymond Green","Gol","F","34.9","33","28.6","15.7","25.9","65","0.615","113","0.478","127","0.362","0.513","0.532","8.7","6.2","5.6","1.1","1.2","2.5","14.8","14.3","20.5","9.4","104.9","102.1"
"","Luke Kennard","Mem","G","28.6","27","21","14.6","12.4","33","0.879","53","0.415","116","0.457","0.601","0.632","8.6","2.8","3.2","0.6","0.1","0.9","11.4","11.8","14.6","8.1","130.3","112.6"
"","Trayce Jackson-Davis","Gol","F","24.9","38","20.1","17","12.5","68","0.618","244","0.586","1","0","0.584","0.597","8.6","6.1","2.2","0.5","0.8","0.9","14.7","10.8","16.9","9.7","123.1","107.1"
"","Dalano Banton","Por","F","25.2","30","15.7","26.2","16.3","58","0.672","131","0.45","95","0.358","0.487","0.515","8.6","2","2.4","0.8","0.5","1.5","10.7","11.1","13.1","8.8","102.2","115.8"
"","Jusuf Nurkic","Pho","C","30.4","25","23.7","18.7","25.9","69","0.696","104","0.529","59","0.322","0.512","0.556","8.6","9.2","1.9","0.9","0.6","2.3","17.8","10.5","19.6","9","100.8","99.6"
"","Al Horford","Bos","C-F","38.6","31","27.7","13","10.3","12","0.833","62","0.581","165","0.37","0.562","0.57","8.5","5.5","2.1","0.7","0.8","0.8","14","10.6","16.1","6.7","117.9","107.5"
"","Jaylen Nowell","Nor","G","25.5","8","21","21.5","9.8","11","0.636","46","0.391","27","0.296","0.411","0.43","8.4","2.5","2.3","0.1","0.5","1","10.9","10.6","13.1","6.9","93.9","120.3"
"","Jalen Smith","Chi","F-C","24.8","36","15.4","20.6","8.5","56","0.804","103","0.631","124","0.347","0.57","0.604","8.4","5.5","0.9","0.3","0.7","0.6","13.9","9.3","14.8","9","122.1","106.7"
"","Georges Niang","Cle","F","31.6","39","20.1","17.2","13.4","16","0.75","95","0.642","170","0.382","0.598","0.605","8.4","3.6","1.5","0.3","0.2","1.1","12","9.9","13.5","7.1","112.3","103.6"
"","Trendon Watford","Bro","G-F","24.2","13","16","23.3","16.8","35","0.857","53","0.509","26","0.308","0.494","0.572","8.3","2.8","1.2","0.4","0.3","1.2","11.1","9.5","12.2","7.6","105.5","104"
"","Tyrese Martin","Bro","F","25.9","24","20","19.2","13.1","26","0.654","69","0.507","103","0.359","0.526","0.54","8.3","3.7","1.8","0.5","0.2","1.1","12","10","13.8","7.6","106.4","114.9"
"","Max Strus","Cle","G-F","28.8","11","23.2","14.9","13.9","5","0.8","13","0.538","61","0.393","0.581","0.591","8.2","3.6","3.1","0.4","0.4","1.1","11.8","11.3","14.9","7.8","119.8","108.1"
"","A.J. Green","Mil","G","25.3","36","22","13.5","8.4","11","0.909","25","0.52","194","0.443","0.648","0.657","8.2","2.2","1.3","0.5","0.1","0.6","10.4","9.5","11.7","5.2","123.4","106.9"
"","Jake LaRavia","Mem","F","23.2","39","22","14.9","21.8","84","0.714","138","0.536","84","0.44","0.583","0.616","8.2","4.4","3.2","0.8","0.5","1.6","12.6","11.4","15.8","8.9","118.9","105.1"
"","Max Christie","Lal","G","21.9","36","23.5","13.9","11.9","77","0.87","99","0.556","108","0.361","0.548","0.61","8.2","2.4","1.3","0.9","0.4","0.8","10.6","9.5","11.9","5","120","113.5"
"","Cody Martin","Cha","F","29.3","34","25.7","14.2","13.4","43","0.698","126","0.556","113","0.31","0.513","0.533","8.1","4.7","2.3","1.2","0.7","1.1","12.8","10.4","15.1","6.9","110.5","108.7"
"","Brandin Podziemski","Gol","G","21.9","30","24.2","15.8","11.5","30","0.733","125","0.496","105","0.295","0.472","0.491","8","4.5","3.2","1","0.2","1","12.5","11.2","15.7","8","108.5","108.4"
"","Jaden Hardy","Dal","G","22.5","32","16","23.7","17.6","42","0.738","118","0.458","102","0.382","0.511","0.537","8","1.5","1.5","0.6","0.2","1.5","9.5","9.5","11","6.6","97.4","107.2"
"","Wendell Carter Jr.","Orl","C-F","25.8","28","24.4","14.9","11.9","73","0.685","117","0.598","60","0.183","0.489","0.533","8","6.8","2.1","0.8","0.6","0.9","14.8","10.1","16.9","8","114.2","98"
"","Cole Anthony","Orl","G","24.7","38","15.2","27.4","17.9","65","0.754","166","0.464","109","0.303","0.46","0.497","7.9","2.6","2.6","0.6","0.3","1.6","10.6","10.5","13.1","9.9","97.9","98.6"
"","Mike Conley","Min","G","37.3","35","24.5","15.5","14.5","50","0.9","78","0.333","163","0.368","0.481","0.527","7.9","2.7","4.3","1.3","0.2","1.2","10.6","12.2","14.9","7.4","115.6","107.7"
"","Moses Moody","Gol","G","22.6","32","16.1","19.9","10.6","44","0.727","81","0.481","121","0.38","0.535","0.56","7.8","1.8","0.8","0.5","0.2","0.8","9.5","8.6","10.3","5.6","107.5","109.5"
"","Day'Ron Sharpe","Bro","C","23.2","18","16.9","21.1","12.7","27","0.852","92","0.565","25","0.12","0.483","0.528","7.6","5.9","1.4","0.7","0.4","0.9","13.5","9","14.9","9.4","113.7","104.2"
"","Ausar Thompson","Det","G-F","22","18","18.7","19.2","18.7","28","0.5","90","0.567","23","0.304","0.544","0.547","7.6","4.6","1.8","1.6","0.3","1.4","12.2","9.4","14","8.5","104","97.8"
"","Sam Hauser","Bos","F","27.1","32","20.5","14.2","5.1","2","1","30","0.767","173","0.376","0.594","0.596","7.6","3","1.1","0.7","0.2","0.3","10.6","8.7","11.7","5.7","123.5","109.1"
"","DaQuan Jeffries","Cha","G-F","27.4","8","19","14.7","11.7","4","0.75","25","0.6","20","0.45","0.633","0.642","7.5","2.9","0.6","0.6","0.6","0.8","10.4","8.1","11","5","118.3","108.8"
"","Brandon Clarke","Mem","F","28.3","37","18.7","13.9","8.4","40","0.65","190","0.653","16","0.063","0.609","0.619","7.5","5","0.9","0.8","0.5","0.5","12.5","8.4","13.4","6.9","127.5","100.1"
"","Ja'Kobe Walter","Tor","G","20.4","24","18.9","18.6","11.3","36","0.667","84","0.488","81","0.296","0.467","0.492","7.4","2.4","1.4","0.5","0.3","0.9","9.8","8.8","11.3","6.2","101.5","114"
"","Cason Wallace","Okc","G","21.2","38","27.4","11.7","8.3","17","0.824","137","0.547","117","0.333","0.526","0.537","7.4","3.3","2.4","1.7","0.6","0.6","10.7","9.8","13.1","5.7","117.2","102.1"
"","Keon Ellis","Sac","G","25","38","21.8","12.8","13.6","49","0.857","59","0.559","137","0.423","0.612","0.648","7.4","2.4","1.2","1.4","0.8","0.8","9.9","8.6","11.1","5.1","122.8","107.6"
"","Shake Milton","Bro","G","28.3","27","18.2","17.1","11.3","33","0.758","85","0.529","72","0.389","0.554","0.58","7.4","1.9","2.4","0.6","0","0.7","9.3","9.7","11.6","7.1","119.1","112.5"
"","Johnny Juzang","Uta","G","23.8","32","17.8","15.9","7.8","25","0.88","54","0.463","135","0.4","0.561","0.585","7.3","2.8","1","0.4","0.2","0.5","10.1","8.3","11.1","6.1","120.3","111.4"
"","Ryan Dunn","Pho","F","22","35","19.9","15.6","6.3","19","0.474","95","0.642","127","0.315","0.545","0.545","7.2","3.2","0.9","0.5","0.7","0.4","10.4","8","11.2","5.5","110.9","107.8"
"","Kyshawn George","Was","F","21.1","33","25.2","15.1","13","41","0.78","80","0.5","167","0.251","0.417","0.449","7.2","3.8","2.2","0.8","0.6","1.1","11.1","9.4","13.2","6.2","95.1","112.8"
"","Taurean Prince","Mil","F","30.8","38","25.6","12.1","16.5","18","0.722","78","0.449","140","0.457","0.601","0.609","7.2","3.8","1.8","0.9","0.2","1.1","11","9.1","12.9","5.7","111.1","107.7"
"","Cameron Payne","Nyk","G","30.4","35","15.2","20.1","10.2","22","0.864","83","0.47","128","0.406","0.555","0.573","7.2","1.5","2.6","0.6","0.3","0.7","8.7","9.8","11.3","8","120.2","105.9"
