"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Moses Brown","Ind","C","25.3","9","5.1","26.8","22.8","5","0.6","20","0.65","0","0","0.65","0.653","3.2","1.4","0","0.2","0.1","0.7","4.7","3.2","4.7","0","98.4","102.7"
"","Drew Peterson","Bos","F","25.2","11","9.9","11.9","18.3","7","0.857","5","0.8","17","0.412","0.659","0.698","3.2","2.1","0.7","0.2","0.2","0.5","5.3","3.9","6","6.8","130","104.1"
"","Jalen Pickett","Den","G","25.2","13","7.8","14.7","16.9","1","1","11","0.636","18","0.5","0.707","0.713","3.2","0.9","1.6","0.1","0.1","0.5","4.2","4.8","5.8","8.5","132.2","109"
"","Maxwell Lewis","Bro","F","22.5","1","1.1","40","0","0","0","0","0","1","1","1.5","1.5","3","0","0","0","0","0","3","3","3","0","0","0"
"","A.J. Lawson","Tor","G","24.5","3","4.5","24.3","0","2","0.5","2","0.5","5","0.4","0.571","0.571","3","1","0","0","0","0","4","3","4","0","118.2","125.2"
"","Oscar Tshiebwe","Uta","F-C","25.1","2","16.9","5.8","43.6","6","0.667","1","1","0","0","1","0.824","3","7","0","2","0","0.5","10","3","10","0","146.8","82.9"
"","Taze Moore","Por","G","26.5","2","10","27","16.4","2","0.5","6","0.167","4","0.25","0.25","0.276","3","4","0.5","1","0","1","7","3.5","7.5","7.3","71.4","117"
"","David Duke Jr.","San","G","25.3","1","8.2","25.5","0","2","0.5","3","0.333","1","0","0.25","0.307","3","0","2","0","0","0","3","5","5","0","88.5","109.3"
"","Collin Gillespie","Pho","G","25.6","1","3.5","25.3","0","0","0","1","0","1","1","0.75","0.75","3","0","0","0","0","0","3","3","3","0","0","0"
"","John Konchar","Mem","G","28.8","21","14.8","9","14.6","6","0.833","17","0.647","41","0.293","0.5","0.519","3","4.4","1.2","0.6","0.5","0.5","7.4","4.2","8.6","6.8","118.3","104.4"
"","Jae Crowder","Sac","F","34.5","7","13.1","11","18.7","6","0.833","5","0.6","12","0.25","0.441","0.509","2.9","2.4","0.6","0.4","0","0.6","5.3","3.4","5.9","4.9","105.3","105.9"
"","Josh Minott","Min","F","22.1","25","7.2","16.4","10.9","9","0.778","32","0.75","25","0.24","0.579","0.599","2.9","1.2","0.5","0.4","0.4","0.3","4.1","3.4","4.6","6.7","117.2","98.2"
"","Ousmane Dieng","Okc","F","21.7","20","10.2","15.7","7.1","11","0.636","27","0.444","38","0.237","0.392","0.415","2.9","2.4","0.7","0.7","0.2","0.3","5.3","3.6","6","6.6","95.5","96.4"
"","Jock Landale","Hou","C","29.2","20","9.2","16.1","15.8","20","0.55","46","0.413","7","0.429","0.443","0.469","2.9","2.7","0.8","0.2","0.4","0.5","5.6","3.7","6.3","8","105.2","103.6"
"","Maxi Kleber","Dal","F","33","28","19.3","7.7","20.6","14","0.786","37","0.514","36","0.306","0.486","0.518","2.9","3","1.1","0.3","0.4","0.7","6","4","7","4.4","105.6","107.6"
"","Landry Shamet","Nyk","G","27.8","12","11.5","13.3","9.5","0","0","18","0.611","20","0.2","0.447","0.447","2.8","0.8","0.5","0.6","0.1","0.3","3.6","3.3","4.1","3.6","91.6","111.4"
"","Rayan Rupert","Por","G-F","20.6","28","9.1","15.1","16.4","16","0.75","39","0.513","32","0.281","0.472","0.506","2.8","1.3","0.5","0.3","0.1","0.5","4.1","3.3","4.6","5.4","101.9","116.8"
"","Caleb Houstan","Orl","G","22","28","11.1","11.6","6.2","7","1","10","0.4","65","0.323","0.473","0.499","2.8","0.8","0.4","0.3","0.1","0.2","3.6","3.1","3.9","3.5","105.9","105.3"
"","Quinten Post","Gol","C","24.8","3","4.2","24.7","0","1","1","3","0.667","4","0.25","0.5","0.538","2.7","0.3","0.3","0","0","0","3","3","3.3","5.9","121.7","122.4"
"","Johnny Davis","Was","G","22.9","27","7.7","15.3","5.5","11","0.636","42","0.524","26","0.269","0.478","0.494","2.7","1.2","0.3","0.5","0.2","0.1","3.9","3","4.2","5.1","103.8","115.5"
"","Delon Wright","Mil","G","32.7","24","15.7","11","14.6","14","0.571","31","0.323","45","0.267","0.368","0.389","2.7","1.8","1.8","0.8","0.3","0.5","4.5","4.5","6.3","5.2","97.5","111.2"
"","Steven Adams","Hou","C","31.5","25","10.7","13.5","36.5","38","0.368","45","0.6","0","0","0.6","0.551","2.7","4.6","1","0.2","0.2","1","7.3","3.7","8.3","8.7","105.9","100.6"
"","Richaun Holmes","Was","F","31.3","7","8.5","14.8","10.3","5","0.8","16","0.438","1","0","0.412","0.469","2.6","2.9","0.1","0","0.6","0.3","5.4","2.7","5.6","4.3","103.8","114.8"
"","E.J. Liddell","Chi","F","24.1","6","5.1","14.9","19.2","2","1","2","1","6","0.5","0.813","0.845","2.5","0.8","0.5","0.2","0","0.3","3.3","3","3.8","7.8","138.3","92.9"
"","Taj Gibson","Cha","F","39.6","15","10.6","12.3","20.8","8","0.625","32","0.469","2","0.5","0.485","0.506","2.5","3","0.5","0.4","0.3","0.6","5.5","3","6","5.9","104.3","104.9"
"","Pat Spencer","Gol","G","28.5","16","6.8","19.5","19.4","10","0.7","30","0.5","7","0.143","0.446","0.483","2.5","1.3","1.5","0.5","0.1","0.6","3.8","4","5.3","10","106.1","106.9"
"","Reece Beekman","Bro","G","23.3","11","9.8","15.6","22.1","5","0.6","18","0.389","10","0.3","0.411","0.43","2.4","0.4","1.1","0.3","0.2","0.7","2.7","3.5","3.8","4.2","84","119.8"
"","Trey Jemison","Nor","C","25.1","16","10.4","13","23.7","21","0.381","32","0.469","0","0","0.469","0.461","2.4","2.8","0.6","0.4","0.4","0.6","5.1","3","5.8","6.1","98.5","104.5"
"","Duop Reath","Por","C","28.6","18","6.2","17.1","6.9","6","0.667","10","0.5","30","0.333","0.5","0.516","2.4","1.1","0.3","0","0.1","0.2","3.5","2.7","3.8","6","111.7","112.8"
"","Olivier-Maxence Prosper","Dal","F","22.5","29","7.1","16.4","7.4","29","0.586","43","0.442","19","0.263","0.427","0.468","2.4","1.8","0.5","0.3","0.1","0.2","4.2","2.9","4.8","7.3","111.9","110.8"
"","Chris Duarte","Chi","G","27.6","15","4.8","17.2","3.8","8","0.75","11","0.545","14","0.429","0.6","0.631","2.4","1.3","0.5","0","0","0.1","3.7","2.9","4.2","9.7","137.1","110.9"
"","Damion Lee","Pho","G-F","32.2","8","6","25.5","12.3","8","1","9","0.444","12","0.083","0.262","0.387","2.4","0.8","0.6","0.3","0","0.4","3.1","3","3.8","7","85.7","116.5"
"","Craig Porter","Cle","G","24.9","23","7.8","12.2","20.7","7","0.714","27","0.593","11","0.455","0.618","0.633","2.3","0.7","1","0.2","0.3","0.4","3","3.3","4","6","118","112"
"","Lester Quinones","Phi","G","24.2","4","4.3","32.2","32.2","1","1","5","0.8","3","0","0.5","0.533","2.3","1","0.3","0","0","1","3.3","2.5","3.5","8.2","83.9","121.8"
"","Gui Santos","Gol","F","22.6","15","8.3","13.1","24.8","6","0.5","8","0.625","19","0.368","0.574","0.574","2.3","1.5","0.9","0.3","0.2","0.6","3.8","3.1","4.7","7","107.4","102.1"
